institution_id,publication_count
https://openalex.org/I185652977,3
https://openalex.org/I916357946,3
https://openalex.org/I82952536,3
https://openalex.org/I881427289,3
https://openalex.org/I74885063,3
https://openalex.org/I36234482,3
https://openalex.org/I39555362,3
https://openalex.org/I35440088,3
https://openalex.org/I138689650,3
https://openalex.org/I84339108,3
https://openalex.org/I1316535847,3
https://openalex.org/I24943067,3
https://openalex.org/I44260953,3
https://openalex.org/I1336910626,3
https://openalex.org/I48018076,3
https://openalex.org/I2802768257,3
https://openalex.org/I189158943,3
https://openalex.org/I196349391,3
https://openalex.org/I191972202,3
https://openalex.org/I145608581,3
https://openalex.org/I4210131147,3
https://openalex.org/I2801671727,3
https://openalex.org/I21250087,3
https://openalex.org/I76777374,3
https://openalex.org/I114090438,3
https://openalex.org/I124227911,3
https://openalex.org/I916559398,3
https://openalex.org/I15057530,3
https://openalex.org/I84884186,3
https://openalex.org/I4210163047,3
https://openalex.org/I161046081,3
https://openalex.org/I4210090236,3
https://openalex.org/I4210117453,3
https://openalex.org/I179193067,3
https://openalex.org/I114457229,3
https://openalex.org/I4537092,3
https://openalex.org/I154130895,2
https://openalex.org/I1334287468,2
https://openalex.org/I24354313,2
https://openalex.org/I152429107,2
https://openalex.org/I4210150921,2
https://openalex.org/I150229711,2
https://openalex.org/I188760350,2
https://openalex.org/I111979921,2
https://openalex.org/I190082696,2
https://openalex.org/I157725225,2
https://openalex.org/I63634437,2
https://openalex.org/I5023651,2
https://openalex.org/I1285301757,2
https://openalex.org/I1282105669,2
https://openalex.org/I79510175,2
https://openalex.org/I33586908,2
https://openalex.org/I39804081,2
https://openalex.org/I135310074,2
https://openalex.org/I2802582725,2
https://openalex.org/I7877124,2
https://openalex.org/I100930933,2
https://openalex.org/I185103710,2
https://openalex.org/I2803058125,2
https://openalex.org/I185638415,2
https://openalex.org/I5124864,2
https://openalex.org/I1335321130,2
https://openalex.org/I86501945,2
https://openalex.org/I193775966,2
https://openalex.org/I4210105918,2
https://openalex.org/I130701444,2
https://openalex.org/I138211613,2
https://openalex.org/I162148367,2
https://openalex.org/I2800229700,2
https://openalex.org/I148283060,2
https://openalex.org/I2802864460,2
https://openalex.org/I277688954,2
https://openalex.org/I162608824,2
https://openalex.org/I138006243,2
https://openalex.org/I115228651,2
https://openalex.org/I4210099598,2
https://openalex.org/I1336263701,2
https://openalex.org/I32597200,2
https://openalex.org/I2801317318,2
https://openalex.org/I2803066834,2
https://openalex.org/I2801843802,2
https://openalex.org/I4210097159,2
https://openalex.org/I204730241,2
https://openalex.org/I153648349,2
https://openalex.org/I4210133586,2
https://openalex.org/I60053951,2
https://openalex.org/I4210123352,2
https://openalex.org/I2799853436,2
https://openalex.org/I112289208,2
https://openalex.org/I6498739,2
https://openalex.org/I7882870,2
https://openalex.org/I4210110459,2
https://openalex.org/I177828482,2
https://openalex.org/I69094615,2
https://openalex.org/I68891433,2
https://openalex.org/I342702707,2
https://openalex.org/I204778367,2
https://openalex.org/I4210113288,2
https://openalex.org/I7435137,2
https://openalex.org/I129774422,2
https://openalex.org/I116631150,2
https://openalex.org/I4210135003,2
https://openalex.org/I4210095947,2
https://openalex.org/I40542001,2
https://openalex.org/I98358874,2
https://openalex.org/I4210090957,2
https://openalex.org/I2802476451,2
https://openalex.org/I169381384,2
https://openalex.org/I219193219,2
https://openalex.org/I130769515,2
https://openalex.org/I172901346,2
https://openalex.org/I4210119048,2
https://openalex.org/I4210094062,2
https://openalex.org/I4210146710,2
https://openalex.org/I2801322873,2
https://openalex.org/I1343052199,2
https://openalex.org/I4387153466,2
https://openalex.org/I161318765,2
https://openalex.org/I2800006345,2
https://openalex.org/I4210108070,2
https://openalex.org/I4210096666,2
https://openalex.org/I190930483,2
https://openalex.org/I2799503643,2
https://openalex.org/I4210100596,2
https://openalex.org/I204308271,2
https://openalex.org/I2799351582,2
